Date,NVDA,MSFT,GOOGL,JNJ,UNH,JPM,V,KO,COST,XOM
2020-06-02,8.791257858276367,176.5384521484375,71.57469940185547,126.8879623413086,278.9693908691406,84.87513732910156,188.79690551757812,39.35736083984375,281.9947814941406,37.02558135986328
2020-06-03,8.735724449157715,176.9680633544922,71.42284393310547,127.23030090332031,278.094970703125,89.45647430419922,189.28724670410156,40.19654083251953,281.5815734863281,38.536033630371094
2020-06-04,8.73672103881836,174.63853454589844,70.18470001220703,125.58692932128906,271.473876953125,91.3182144165039,186.18165588378906,40.213314056396484,285.35565185546875,38.42647933959961
2020-06-05,8.889698028564453,178.7247772216797,71.4610595703125,126.0748291015625,284.0148010253906,95.42769622802734,191.9217071533203,41.195152282714844,286.5402526855469,41.54128646850586
2020-06-08,8.775089263916016,179.83226013183594,71.85905456542969,125.62120819091797,281.8563232421875,97.3322982788086,191.91207885742188,41.832923889160156,282.08660888671875,42.84042739868164
2020-06-09,9.015271186828613,181.2070770263672,72.05952453613281,124.92789459228516,281.6104431152344,94.83570861816406,191.41212463378906,41.119632720947266,280.5805358886719,41.88563537597656
2020-06-10,9.334932327270508,187.92832946777344,72.68580627441406,126.50273895263672,278.4592590332031,90.99219512939453,192.75819396972656,40.80074691772461,282.215087890625,39.6395263671875
2020-06-11,8.76636791229248,177.83688354492188,69.56935119628906,120.57137298583984,258.40478515625,83.39948272705078,181.60498046875,38.2160758972168,276.24627685546875,36.14122772216797
2020-06-12,8.902156829833984,179.24032592773438,70.1162338256836,121.66691589355469,259.69793701171875,85.68159484863281,184.8548126220703,38.61407470703125,274.290283203125,36.91603088378906
2020-06-15,9.142586708068848,180.385986328125,70.50428009033203,120.89659881591797,260.7271423339844,86.86552429199219,184.3740692138672,39.20683670043945,272.89453125,36.892539978027344
2020-06-16,9.037693977355957,184.806396484375,71.78114318847656,123.64405059814453,266.847412109375,87.56045532226562,185.450927734375,39.60483169555664,276.73297119140625,37.722110748291016
2020-06-17,9.204625129699707,185.446044921875,72.0823745727539,123.2674560546875,266.4830627441406,85.34700012207031,186.1047821044922,39.443946838378906,275.1259765625,36.49340057373047
2020-06-18,9.186686515808105,187.43185424804688,71.16826629638672,122.74536895751953,265.46307373046875,84.88371276855469,186.44126892089844,39.79112243652344,275.0892333984375,36.72036361694336
2020-06-19,9.229788780212402,186.31480407714844,70.69783782958984,123.10482025146484,266.3868408203125,83.91424560546875,184.79708862304688,38.9697265625,275.39227294921875,35.984703063964844
2020-06-22,9.494386672973633,191.489501953125,71.98907470703125,122.72825622558594,267.6948547363281,83.00483703613281,187.45083618164062,38.732635498046875,275.8973388671875,36.32905960083008
2020-06-23,9.417900085449219,192.76878356933594,72.65007781982422,122.27458190917969,272.2041320800781,84.01721954345703,190.34486389160156,38.64795684814453,276.668701171875,36.54819107055664
2020-06-24,9.204126358032227,188.883056640625,71.09780883789062,119.67266845703125,264.5025939941406,81.21177673339844,184.03756713867188,37.80961990356445,273.6659240722656,34.82644271850586
2020-06-25,9.457761764526367,191.26986694335938,71.51465606689453,119.54425048828125,270.94189453125,84.04293823242188,186.50852966308594,38.046730041503906,275.9707946777344,35.35078811645508
2020-06-26,9.12389850616455,187.44142150878906,67.6161117553711,117.95225524902344,262.39886474609375,79.43584442138672,181.97999572753906,36.895076751708984,272.3251953125,34.13773727416992
2020-06-29,9.168747901916504,189.45591735839844,69.33463287353516,119.00505828857422,265.0331726074219,79.78760528564453,184.00869750976562,37.56405258178711,276.9441833496094,34.68556594848633
2020-06-30,9.465485572814941,194.29635620117188,70.37079620361328,120.36592102050781,269.7802429199219,80.69700622558594,185.72975158691406,37.83501434326172,278.4317626953125,34.99860763549805
2020-07-01,9.497626304626465,195.43247985839844,71.55931854248047,120.15196990966797,272.32305908203125,80.01065826416016,186.31625366210938,37.95357131958008,279.845947265625,34.20816421508789
2020-07-02,9.579597473144531,196.9217987060547,72.94535064697266,120.65691375732422,272.8077697753906,80.27054595947266,188.1334686279297,38.0043830871582,280.7549743652344,34.49773406982422
2020-07-06,9.805826187133789,201.16078186035156,74.42020416259766,122.37731170654297,276.9694519042969,82.29769134521484,190.1429443359375,38.30076217651367,286.03509521484375,34.7403450012207
2020-07-07,9.838214874267578,198.8217315673828,73.93733978271484,122.26604461669922,271.33514404296875,79.97602081298828,186.7200927734375,38.2838249206543,290.38775634765625,33.84033203125
2020-07-08,10.181296348571777,203.1944122314453,74.61621856689453,122.62551879882812,272.899169921875,80.8249740600586,187.55661010742188,38.165279388427734,290.470458984375,33.76207733154297
2020-07-09,10.47330093383789,204.6169891357422,75.36357879638672,121.95795440673828,266.3136291503906,79.0750732421875,184.80670166015625,37.1829833984375,298.93695068359375,32.369022369384766
2020-07-10,10.443650245666504,203.99639892578125,76.3734359741211,121.85521697998047,266.3776550292969,83.39787292480469,185.13363647460938,38.23301696777344,299.5706787109375,33.378597259521484
2020-07-13,10.018101692199707,197.6951904296875,75.04448699951172,124.28599548339844,274.1340026855469,84.59334564208984,181.7395782470703,38.31769943237305,296.5311279296875,33.38641357421875
2020-07-14,10.341748237609863,198.917236328125,75.47273254394531,126.60547637939453,282.1921691894531,85.07847595214844,185.88356018066406,38.842708587646484,301.1959533691406,34.48991394042969
2020-07-15,10.19250774383545,198.62127685546875,75.27523803710938,126.8964614868164,278.1219177246094,86.39524841308594,188.97958374023438,39.29151153564453,300.002197265625,34.92817687988281
2020-07-16,10.100323677062988,194.68780517578125,75.177978515625,127.74385833740234,280.9391784667969,86.63777923583984,186.04705810546875,39.07981491088867,299.6073303222656,34.65425491333008
2020-07-17,10.16684627532959,193.69485473632812,75.27375030517578,127.82942199707031,280.3721008300781,85.03516387939453,187.57582092285156,39.647159576416016,298.248291015625,34.05946350097656
2020-07-20,10.47504711151123,202.0200653076172,77.60562896728516,128.04339599609375,277.56396484375,84.2901382446289,190.82562255859375,39.05440902709961,299.8277282714844,33.261199951171875
2020-07-21,10.293413162231445,199.29910278320312,77.21260070800781,128.16326904296875,279.0731201171875,86.1180419921875,188.91224670410156,39.96895217895508,300.9571533203125,34.94383239746094
2020-07-22,10.403290748596191,202.1632843017578,77.65576171875,128.39431762695312,280.53662109375,85.49429321289062,191.2005615234375,41.0528564453125,301.47149658203125,34.129913330078125
2020-07-23,10.095338821411133,193.37026977539062,75.26879119873047,128.0519256591797,277.1158752441406,85.74551391601562,189.82566833496094,40.88349533081055,299.4603576660156,34.200340270996094
2020-07-24,10.159868240356445,192.18643188476562,74.8449935913086,126.77669525146484,275.1219177246094,85.13912200927734,187.63345336914062,41.06133270263672,299.1573791503906,33.98903274536133
2020-07-27,10.386098861694336,194.62098693847656,75.89802551269531,125.97210693359375,273.1187744140625,83.94364929199219,189.32569885253906,41.0528564453125,300.82867431640625,34.48991394042969
2020-07-28,10.180797576904297,192.87384033203125,74.61870574951172,125.67253875732422,274.3352355957031,84.3074722290039,189.1622772216797,40.7988166809082,300.80108642578125,34.082942962646484
2020-07-29,10.429947853088379,194.8214569091797,75.60426330566406,125.42432403564453,280.5091857910156,86.35191345214844,190.931396484375,40.66332244873047,299.488037109375,34.45860290527344
2020-07-30,10.577947616577148,194.66871643066406,76.34169006347656,125.68109893798828,279.1829833984375,84.0475845336914,186.58544921875,40.38389205932617,298.9173889160156,32.76814651489258
2020-07-31,10.578692436218262,195.72842407226562,73.83959197998047,124.75672149658203,276.94207763671875,83.71839904785156,183.06646728515625,40.00282669067383,299.57080078125,32.932498931884766
2020-08-03,10.972848892211914,206.7364044189453,73.58203887939453,126.1176528930664,277.70111083984375,83.25060272216797,183.3452606201172,39.20683670043945,303.05853271484375,33.06554412841797
2020-08-04,11.18960952758789,203.63356018066406,73.11258697509766,126.00631713867188,278.5152893066406,82.77415466308594,184.88365173339844,39.537086486816406,312.693603515625,34.020347595214844
2020-08-05,11.248411178588867,203.29942321777344,73.39990997314453,127.01631927490234,285.8051452636719,84.21217346191406,188.546875,39.98588562011719,312.8592834472656,34.31773376464844
